,City,Country,Housing Affordability,Living Costs by Income,Unemployment,Education,Safety,Mobility,Air Quality,Healthcare,Kids Activities,Paid Parental Leave,Family Inclusivity,Neighbourhood Safety,Family-Friendliness,Total,Lat,Long
15,San Diego,US,80.53,90.59,3.3,85.53,86.8,62.27,15.05,68.65,93.85,117,100.0,74,92,84.75,32.7174209,-117.1627714
16,Seattle,US,87.73,87.99,3.88,87.28,84.3,66.25,11.97,72.09,87.08,0,100.0,87,90,84.43,47.6038321,-122.3300624
17,Cologne,Germany,88.4,86.42,7.85,88.49,85.4,75.33,24.47,72.39,58.37,467,100.0,79,85,83.79,50.938361,6.959974
18,Toronto,Canada,65.57,71.14,6.0,92.79,90.8,63.34,14.33,77.94,83.8,364,100.0,93,89,83.26,43.653963,-79.387207
19,Vancouver,Canada,62.29,79.32,4.4,95.61,88.3,58.29,12.26,77.72,69.25,364,100.0,87,88,83.04,49.2608724,-123.1139529
20,Strasbourg,France,91.9,80.73,7.5,88.34,84.8,66.59,25.0,74.17,56.54,490,100.0,92,87,82.48,48.584614,7.7507127
21,Essen,Germany,100.0,85.47,10.6,88.49,85.1,80.28,24.03,74.76,44.2,467,100.0,81,75,82.38,51.4582235,7.0158171
22,Minneapolis,US,88.57,85.35,2.68,87.44,85.5,67.91,12.18,74.33,62.43,0,100.0,89,92,82.34,44.9772995,-93.2654692
23,Portland,US,87.44,84.96,3.79,86.2,87.3,64.84,10.44,68.7,75.02,0,100.0,88,93,82.24,45.5202471,-122.6741949
24,Bremen,Germany,93.52,82.17,9.3,88.26,84.6,69.33,20.39,71.39,58.13,467,100.0,82,90,82.06,53.0758196,8.8071646
25,Omaha,US,93.56,90.5,2.87,86.94,84.4,63.13,15.47,64.11,64.85,0,100.0,92,89,81.93,41.2587459,-95.9383758
26,Dortmund,Germany,94.42,84.05,10.26,88.49,84.8,80.63,24.35,73.06,46.64,467,100.0,75,92,81.82,51.5142273,7.4652789
27,Austin,US,87.7,94.49,2.92,85.7,86.7,53.59,14.3,56.33,76.74,0,100.0,81,91,81.08,30.2711286,-97.7436995
28,Denver,US,88.58,89.76,3.01,86.86,83.8,61.67,11.02,67.83,66.9,0,100.0,92,84,80.96,39.7348381,-104.9653271
29,Lyon,France,82.78,89.93,8.0,87.78,82.2,65.44,22.0,72.11,58.15,490,100.0,76,91,80.78,45.7578137,4.8320114
30,Tampa,US,90.3,91.25,3.4,86.03,84.9,61.31,12.37,63.64,70.8,0,84.6,84,81,79.69,27.9477595,-82.458444
31,London,UK,57.7,72.54,4.75,89.51,84.3,76.6,15.76,71.34,98.28,287,100.0,89,79,79.54,51.5073219,-0.1276474
32,Chicago,US,81.4,83.16,4.16,86.28,83.8,83.88,21.54,62.94,90.95,0,100.0,65,72,79.46,41.8755616,-87.6244212
